 # mass    139.578003      MeV
 # Ekin    45000.0000      MeV
 # path   0.260206014      um
 # mean dE/dx    373.898499      eV/um
 #         j      dE [eV]      dE*dE*dsig/ddE [eV*eV/cm]
 START
         429      185.106232          889062.875    
         430      187.121902          886110.438    
         431      189.159531          882453.625    
         432      191.219345          878300.938    
         433      193.301590          873438.812    
         434      195.406509          868137.688    
         435      197.534348          863601.500    
         436      199.685364          858250.875    
         437      201.859802          853690.562    
         438      204.057907          848682.500    
         439      206.279953          843925.688    
         440      208.526199          839173.125    
         441      210.796906          835969.500    
         442      213.092331          836465.250    
         443      215.412750          836511.000    
         444      217.758438          836108.125    
         445      220.129669          835236.875    
         446      222.526718          834267.438    
         447      224.949875          832798.875    
         448      227.399414          831796.375    
         449      229.875626          830328.438    
         450      232.378815          829182.438    
         451      234.909256          827570.312    
         452      237.467255          826360.875    
         453      240.053101          824767.188    
         454      242.667114          823497.375    
         455      245.309586          821762.500    
         456      247.980835          819700.625    
         457      250.681168          817393.562    
         458      253.410904          815329.750    
         459      256.170380          813178.750    
         460      258.959900          811042.438    
         461      261.779785          808792.500    
         462      264.630371          806340.188    
         463      267.511993          804169.312    
         464      270.425018          801775.938    
         465      273.369751          799573.062    
         466      276.346558          797215.125    
         467      279.355774          794848.312    
         468      282.397766          792634.250    
         469      285.472870          790231.875    
         470      288.581482          787858.562    
         471      291.723938          785402.000    
         472      294.900604          782809.438    
         473      298.111877          780373.562    
         474      301.358093          775811.438    
         475      304.639679          768339.875    
         476      307.957001          761360.562    
         477      311.310425          754181.625    
         478      314.700378          746792.375    
         479      318.127228          739518.562    
         480      321.591400          732181.625    
         481      325.093292          724846.250    
         482      328.633331          717894.438    
         483      332.211914          710938.875    
         484      335.829468          703993.000    
         485      339.486420          697215.062    
         486      343.183197          690620.562    
         487      346.920227          684042.562    
         488      350.697937          677498.375    
         489      354.516785          671097.375    
         490      358.377228          664738.938    
         491      362.279694          658400.312    
         492      366.224670          652112.062    
         493      370.212585          645873.188    
         494      374.243927          639838.062    
         495      378.319183          633893.500    
         496      382.438812          627854.125    
         497      386.603302          621765.250    
         498      390.813141          615743.500    
         499      395.068817          609802.938    
         500      399.370850          604039.188    
         501      403.719727          598351.188    
         502      408.115936          592735.750    
         503      412.560028          587184.062    
         504      417.052521          581704.812    
         505      421.593933          576289.312    
         506      426.184784          570898.688    
         507      430.825623          565551.625    
         508      435.516998          560275.688    
         509      440.259460          555076.188    
         510      445.053589          549946.438    
         511      449.899902          544836.938    
         512      454.798981          539660.250    
         513      459.751434          534558.000    
         514      464.757812          529527.500    
         515      469.818695          524571.125    
         516      474.934692          519685.438    
         517      480.106384          514885.281    
         518      485.334412          510162.688    
         519      490.619354          505500.781    
         520      495.961853          500854.219    
         521      501.362518          496265.562    
         522      506.821991          491743.875    
         523      512.340942          487282.219    
         524      517.919983          482819.781    
         525      523.559753          478349.875    
         526      529.260925          473920.375    
         527      535.024231          469546.031    
         528      540.850281          465274.625    
         529      546.739746          461069.594    
         530      552.693359          456922.125    
         531      558.711792          452811.188    
         532      564.795776          448695.500    
         533      570.945984          444661.219    
         534      577.163208          440699.688    
         535      583.448120          436779.281    
         536      589.801453          432894.312    
         537      596.223999          429101.500    
         538      602.716431          425413.750    
         539      609.279602          421674.094    
         540      615.914246          418099.375    
         541      622.621094          414484.906    
         542      629.401001          410906.406    
         543      636.254761          407488.062    
         544      643.183105          404044.219    
         545      650.186890          400587.250    
         546      657.266968          397230.469    
         547      664.424133          393861.750    
         548      671.659241          390481.625    
         549      678.973145          387168.188    
         550      686.366699          383975.750    
         551      693.840759          380774.438    
         552      701.396179          377567.094    
         553      709.033875          374407.219    
         554      716.754761          371346.625    
         555      724.559692          368300.469    
         556      732.449646          365272.250    
         557      740.425476          362291.000    
         558      748.488159          359395.812    
         559      756.638672          356541.219    
         560      764.877930          353718.438    
         561      773.206909          350933.812    
         562      781.626587          348172.688    
         563      790.137939          345441.188    
         564      798.742004          342764.969    
         565      807.439758          340121.250    
         566      816.232178          337502.938    
         567      825.120361          334910.656    
         568      834.105347          332332.188    
         569      843.188171          329767.500    
         570      852.369873          327225.094    
         571      861.651550          324749.531    
         572      871.034302          322335.688    
         573      880.519226          319958.781    
         574      890.107483          317599.094    
         575      899.800110          315280.469    
         576      909.598267          312978.469    
         577      919.503174          310705.938    
         578      929.515930          308468.531    
         579      939.637695          306278.719    
         580      949.869690          304098.188    
         581      960.213074          301954.250    
         582      970.669128          299833.938    
         583      981.239014          297711.625    
         584      991.924011          295619.812    
         585      1002.72534          293606.375    
         586      1013.64429          291614.438    
         587      1024.68213          289643.562    
         588      1035.84021          287695.688    
         589      1047.11975          285768.312    
         590      1058.52209          283850.375    
         591      1070.04871          281989.375    
         592      1081.70081          280153.406    
         593      1093.47974          278344.719    
         594      1105.38696          276543.000    
         595      1117.42383          274755.750    
         596      1129.59180          272985.750    
         597      1141.89221          271282.344    
         598      1154.32666          269611.406    
         599      1166.89648          267940.344    
         600      1179.60315          266279.969    
         601      1192.44824          264651.031    
         602      1205.43311          263062.562    
         603      1218.55945          261483.875    
         604      1231.82874          259927.203    
         605      1245.24243          258379.016    
         606      1258.80225          256842.953    
         607      1272.50977          255349.641    
         608      1286.36646          253890.938    
         609      1300.37402          252433.172    
         610      1314.53418          251012.344    
         611      1328.84851          249590.062    
         612      1343.31873          248197.859    
         613      1357.94653          246838.953    
         614      1372.73364          245484.297    
         615      1387.68176          244141.422    
         616      1402.79260          242819.016    
         617      1418.06799          241531.094    
         618      1433.50977          240264.953    
         619      1449.11963          238998.703    
         620      1464.89954          237763.938    
         621      1480.85120          236552.641    
         622      1496.97656          235359.750    
         623      1513.27759          234186.891    
         624      1529.75610          233020.922    
         625      1546.41406          231870.844    
         626      1563.25342          230728.828    
         627      1580.27612          229592.734    
         628      1597.48425          228476.719    
         629      1614.87976          227402.469    
         630      1632.46460          226361.781    
         631      1650.24097          225335.031    
         632      1668.21094          224322.781    
         633      1686.37659          223323.000    
         634      1704.73999          222337.203    
         635      1723.30334          221361.938    
         636      1742.06885          220418.562    
         637      1761.03870          219533.672    
         638      1780.21521          218681.891    
         639      1799.60046          217916.594    
         640      1819.19678          217351.688    
         641      1839.00659          672866.500    
         642      1859.03210          652888.312    
         643      1879.27563          642879.125    
         644      1899.73962          634165.312    
         645      1920.42639          626293.562    
         646      1941.33850          618710.438    
         647      1962.47827          611400.438    
         648      1983.84827          604335.250    
         649      2005.45093          597523.375    
         650      2027.28882          590803.375    
         651      2049.36450          584319.625    
         652      2071.68066          577855.312    
         653      2094.23975          571602.188    
         654      2117.04443          565462.375    
         655      2140.09766          559384.188    
         656      2163.40186          553578.688    
         657      2186.95972          547724.375    
         658      2210.77417          541927.188    
         659      2234.84790          536389.125    
         660      2259.18384          530768.062    
         661      2283.78467          525255.312    
         662      2308.65356          520292.844    
         663      2333.79321          515139.250    
         664      2359.20654          510058.781    
         665      2384.89673          505048.688    
         666      2410.86646          500227.969    
         667      2437.11914          495356.312    
         668      2463.65771          490562.219    
         669      2490.48511          485779.188    
         670      2517.60474          481139.031    
         671      2545.01978          476436.375    
         672      2572.73315          471962.344    
         673      2600.74829          467328.750    
         674      2629.06860          463043.656    
         675      2657.69727          458606.406    
         676      2686.63770          454339.625    
         677      2715.89331          450083.531    
         678      2745.46753          445841.438    
         679      2775.36377          441787.844    
         680      2805.58545          437645.906    
         681      2836.13623          433670.094    
         682      2867.01978          429734.469    
         683      2898.23950          425764.562    
         684      2929.79932          421992.844    
         685      2961.70264          418171.062    
         686      2993.95337          414407.969    
         687      3026.55542          410757.094    
         688      3059.51245          407078.812    
         689      3092.82837          403463.562    
         690      3126.50708          399987.375    
         691      3160.55249          396472.469    
         692      3194.96875          393034.344    
         693      3229.75977          389692.156    
         694      3264.92944          386331.781    
         695      3300.48218          382982.125    
         696      3336.42212          379779.312    
         697      3372.75342          376570.562    
         698      3409.48022          373419.000    
         699      3446.60693          370309.875    
         700      3484.13794          367300.344    
         701      3522.07764          364292.188    
         702      3560.43066          361290.281    
         703      3599.20117          358358.875    
         704      3638.39404          355492.781    
         705      3678.01367          352668.344    
         706      3718.06470          349879.469    
         707      3758.55176          347123.062    
         708      3799.47974          344368.312    
         709      3840.85327          341730.688    
         710      3882.67749          339087.594    
         711      3924.95703          336497.375    
         712      3967.69702          333937.469    
         713      4010.90234          331415.062    
         714      4054.57812          328910.594    
         715      4098.72949          326465.875    
         716      4143.36182          324074.969    
         717      4188.47998          321681.500    
         718      4234.08936          319362.844    
         719      4280.19580          317097.531    
         720      4326.80420          314829.750    
         721      4373.91992          312596.031    
         722      4421.54883          310396.438    
         723      4469.69629          308230.531    
         724      4518.36816          306099.188    
         725      4567.56982          303986.969    
         726      4617.30762          301924.812    
         727      4667.58691          299877.031    
         728      4718.41357          297860.625    
         729      4769.79395          295906.969    
         730      4821.73340          294024.906    
         731      4874.23877          292075.938    
         732      4927.31592          290199.000    
         733      4980.97070          288319.719    
         734      5035.20996          286502.969    
         735      5090.04004          284696.625    
         736      5145.46680          282899.250    
         737      5201.49707          281148.281    
         738      5258.13770          279414.188    
         739      5315.39502          277722.125    
         740      5373.27588          276037.094    
         741      5431.78711          274358.406    
         742      5490.93555          272736.406    
         743      5550.72803          271103.594    
         744      5611.17139          269548.031    
         745      5672.27295          268008.000    
         746      5734.04004          266504.781    
         747      5796.47949          264997.844    
         748      5859.59912          263535.219    
         749      5923.40576          262095.672    
         750      5987.90723          260674.031    
         751      6053.11133          259265.312    
         752      6119.02539          257893.469    
         753      6185.65723          256521.406    
         754      6253.01465          255188.266    
         755      6321.10547          253901.578    
         756      6389.93799          252616.922    
         757      6459.52002          251353.953    
         758      6529.85938          250112.500    
         759      6600.96484          248884.562    
         760      6672.84473          247699.188    
         761      6745.50732          246494.578    
         762      6818.96094          245329.188    
         763      6893.21436          244162.156    
         764      6968.27637          243058.781    
         765      7044.15576          241945.328    
         766      7120.86182          240854.016    
         767      7198.40283          239790.797    
         768      7276.78857          238729.938    
         769      7356.02783          237688.078    
         770      7436.12988          236680.906    
         771      7517.10400          235674.625    
         772      7598.95996          234703.734    
         773      7681.70703          233742.781    
         774      7765.35547          232796.578    
         775      7849.91455          231865.312    
         776      7935.39453          230940.734    
         777      8021.80518          230045.062    
         778      8109.15674          229150.562    
         779      8197.45996          228285.406    
         780      8286.72461          227437.984    
