 # mass   0.511003971      MeV
 # Ekin   0.100000001      MeV
 # path    9.49258208E-02  um
 # mean dE/dx    751.205688      eV/um
 #         j   dE [eV]      dE*dE*dsig/ddE [eV*eV/cm]
 START
 926  40281.7070  482721.500
 927  40720.3477  485627.719
 928  41163.7617  488802.406
 929  41612.0078  492263.531
 930  42065.1328  496031.188
 931  42523.1914  500125.781
 932  42986.2383  504569.281
 933  43454.3281  509386.500
 934  43927.5156  514602.188
 935  44405.8555  520244.375
 936  44889.4023  526343.562
 937  45378.2148  532931.562
 938  45872.3516  540043.812
 939  46371.8672  547717.188
 940  46876.8242  555992.688
 941  47387.2812  564914.125
 942  47903.2969  574530.125
 943  48424.9297  584891.688
 944  48952.2422  596055.688
 945  49485.2969  608081.625
 946  50024.1562  0.00000000
 947  50568.8828  0.00000000
 948  51119.5430  0.00000000
 949  51676.1992  0.00000000
 950  52238.9180  0.00000000
 951  52807.7617  0.00000000
 952  53382.8008  0.00000000
 953  53964.1016  0.00000000
 954  54551.7305  0.00000000
 955  55145.7617  0.00000000
 956  55746.2617  0.00000000
 957  56353.3008  0.00000000
 958  56966.9492  0.00000000
