 # mass   0.511003971      MeV
 # Ekin    5000.00000      MeV
 # path   0.260199994      um
 # mean dE/dx    374.291534      eV/um
 # j   dE [eV]   dE*dE*dsig/ddE [eV*eV/cm]
 START
 854  18469.2363  193037.281
 855  18670.3535  192811.281
 856  18873.6602  192567.297
 857  19079.1816  192350.031
 858  19286.9395  192114.297
 859  19496.9609  191882.812
 860  19709.2695  191677.375
 861  19923.8887  191476.188
 862  20140.8457  191256.047
 863  20360.1660  191040.172
 864  20581.8730  187187.500
 865  20805.9941  190624.109
 866  21032.5566  190419.766
 867  21261.5859  190240.766
 868  21493.1094  190043.484
 869  21727.1543  189870.609
 870  21963.7480  189679.938
 871  22202.9180  189492.766
 872  22444.6914  189330.562
 873  22689.0977  189172.156
 874  22936.1660  188994.219
 875  23185.9238  188819.344
 876  23438.4023  188647.578
 877  23693.6309  188479.000
 878  23951.6387  188313.609
 879  24212.4551  188150.875
 880  24476.1113  188011.953
 881  24742.6387  187876.172
 882  25012.0684  187721.500
 883  25284.4316  187569.391
 884  25559.7617  187420.234
 885  25838.0898  187294.719
 886  26119.4492  187149.438
 887  26403.8711  187007.594
 888  26691.3906  186868.344
 889  26982.0410  186752.734
 890  27275.8555  186617.891
 891  27572.8711  186485.312
 892  27873.1211  186355.234
 893  28176.6387  186248.469
 894  28483.4629  186122.578
 895  28793.6270  185998.844
 896  29107.1699  185899.062
 897  29424.1270  185779.094
 898  29744.5352  185661.234
 899  30068.4316  185545.438
 900  30395.8555  184162.281
 901  30726.8457  184074.938
 902  31061.4395  183989.391
 903  31399.6758  183905.297
 904  31741.5957  183822.656
 905  32087.2383  183741.422
 906  32436.6465  183680.969
 907  32789.8594  183602.078
 908  33146.9180  183524.547
 909  33507.8633  183468.891
 910  33872.7383  183393.547
 911  34241.5898  183319.266
 912  34614.4570  183246.547
 913  34991.3828  183174.828
 914  35372.4141  183104.375
 915  35757.5938  183035.156
 916  36146.9688  182987.625
 917  36540.5820  182920.109
 918  36938.4844  182853.781
 919  37340.7188  182788.625
 920  37747.3320  182724.391
 921  38158.3750  182661.562
 922  38573.8945  182599.328
 923  38993.9375  182538.234
 924  39418.5547  182498.344
 925  39847.7930  182438.969
 926  40281.7070  182380.438
 927  40720.3477  182322.969
 928  41163.7617  182266.297
 929  41612.0078  182232.438
 930  42065.1328  182177.109
 931  42523.1914  182122.781
 932  42986.2383  182069.219
 933  43454.3281  182016.672
 934  43927.5156  181964.859
 935  44405.8555  181913.766
 936  44889.4023  181863.641
 937  45378.2148  181814.203
 938  45872.3516  181765.734
 939  46371.8672  181717.938
 940  46876.8242  181670.094
 941  47387.2812  181623.641
 942  47903.2969  181578.078
 943  48424.9297  181533.172
 944  48952.2422  181489.141
 945  49485.2969  181445.484
 946  50024.1562  181402.688
 947  50568.8828  181360.500
 948  51119.5430  181319.172
 949  51676.1992  181278.172
 950  52238.9180  181238.000
 951  52807.7617  181198.391
 952  53382.8008  181159.359
 953  53964.1016  181121.141
 954  54551.7305  181098.922
 955  55145.7617  181061.438
 956  55746.2617  181024.234
 957  56353.3008  180987.844
 958  56966.9492  180951.969
 959  57587.2773  180916.609
 960  58214.3633  180881.766
 961  58848.2773  180847.438
 962  59489.0938  180813.609
 963  60136.8867  180797.625
 964  60791.7344  180764.406
 965  61453.7148  180731.688
 966  62122.9023  180699.688
 967  62799.3750  180667.938
 968  63483.2148  180636.641
 969  64174.5039  180605.844
